Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,RZ,SX,X,ECR,Gate time (ns),Operational
0,83.51966433,23.24906232,4.721907254,-0.31197866,0.033935547,0.042480469,0.025390625,1300,0.000493479,0,0.000493479,0.000493479,,,TRUE
1,56.79025216,160.7203364,4.815274354,-0.309744032,0.031738281,0.028320313,0.03515625,1300,0.000241628,0,0.000241628,0.000241628,1_0:0.013567135508019967,1_0:660,TRUE
2,269.089544,287.2165566,4.609660401,-0.309087518,0.010498047,0.016601563,0.004394531,1300,0.000211136,0,0.000211136,0.000211136,2_1:0.014948500330840442,2_1:660,TRUE
3,266.5221817,304.7702031,4.875541948,-0.309686522,0.024169922,0.012695313,0.035644531,1300,0.000184523,0,0.000184523,0.000184523,3_2:0.006886841731161664,3_2:660,TRUE
4,276.3498708,287.1244321,4.818201611,-0.310371308,0.018310547,0.017089844,0.01953125,1300,0.000156317,0,0.000156317,0.000156317,4_15:0.007446402959986109;4_3:0.006448629805245909;4_5:0.00404545078490165,4_15:660;4_3:660;4_5:660,TRUE
5,271.1954588,361.9862366,4.734131614,-0.311451824,0.009521484,0.013671875,0.005371094,1300,0.000172551,0,0.000172551,0.000172551,,,TRUE
6,287.9472218,93.99950554,4.876257972,-0.30918835,0.020507813,0.016601563,0.024414063,1300,0.000329168,0,0.000329168,0.000329168,6_5:0.0065556737019364375;6_7:0.010975317706769683,6_5:660;6_7:660,TRUE
7,218.863787,117.1149339,4.967494948,-0.307457393,0.014892578,0.019042969,0.010742188,1300,0.000660566,0,0.000660566,0.000660566,7_8:0.009675133296474181,7_8:660,TRUE
8,285.4718552,186.0318927,4.902434954,-0.308378277,0.007568359,0.008789063,0.006347656,1300,0.000323783,0,0.000323783,0.000323783,8_9:0.009733811743328047,8_9:660,TRUE
9,307.0468166,53.78843746,4.987231423,-0.308031059,0.011474609,0.009277344,0.013671875,1300,0.000335344,0,0.000335344,0.000335344,,,TRUE
10,92.86321389,116.2354587,4.831524276,-0.309743442,0.011962891,0.015625,0.008300781,1300,0.000242323,0,0.000242323,0.000242323,10_9:0.015039563036132575;10_11:0.015339506906554445,10_9:660;10_11:660,TRUE
11,349.6478077,205.5076555,4.972384839,-0.307214317,0.035888672,0.033203125,0.038574219,1300,0.000288201,0,0.000288201,0.000288201,11_12:0.009878615985644934,11_12:660,TRUE
12,157.1430779,86.1878063,4.936317367,-0.307960827,0.015625,0.008789063,0.022460938,1300,0.000353349,0,0.000353349,0.000353349,12_17:0.011615949746277054,12_17:660,TRUE
13,383.1908942,92.59637264,5.00580337,-0.30676504,0.017089844,0.007324219,0.026855469,1300,0.000197395,0,0.000197395,0.000197395,13_12:0.009570676108875797,13_12:660,TRUE
14,293.0322316,114.3560672,4.903345836,-0.308419961,0.020263672,0.015136719,0.025390625,1300,0.000216275,0,0.000216275,0.000216275,14_0:0.013640364068199795;14_18:0.005248858353540831,14_0:660;14_18:660,TRUE
15,251.7259557,36.01733811,4.947917639,-0.308052428,0.017822266,0.024902344,0.010742188,1300,0.000456351,0,0.000456351,0.000456351,15_22:0.008820484599169842,15_22:660,TRUE
16,142.7774303,18.35601939,4.960341447,-0.307659451,0.012207031,0.014160156,0.010253906,1300,0.00035359,0,0.00035359,0.00035359,16_8:0.008400496970902893;16_26:0.006996459507597141,16_8:660;16_26:660,TRUE
17,191.4372452,152.5585992,4.82080384,-0.309704359,0.014648438,0.015625,0.013671875,1300,0.000192461,0,0.000192461,0.000192461,17_30:0.006223084356237751,17_30:660,TRUE
18,340.4546349,114.8045885,4.788130196,-0.31063599,0.01171875,0.01171875,0.01171875,1300,9.37041E-05,0,9.37041E-05,9.37041E-05,18_19:0.003751762146783577,18_19:660,TRUE
19,328.9971229,142.5439161,4.747119522,-0.310723953,0.021484375,0.033691406,0.009277344,1300,0.00019352,0,0.00019352,0.00019352,,,TRUE
20,258.8970449,160.439451,4.862350964,-0.309097891,0.019775391,0.0078125,0.031738281,1300,0.000128752,0,0.000128752,0.000128752,20_33:0.055401815361908524;20_19:0.005017054200394555,20_33:660;20_19:660,TRUE
21,150.1316174,91.00042861,4.966495357,-0.306948395,0.007080078,0.008300781,0.005859375,1300,0.00019497,0,0.00019497,0.00019497,21_20:0.0067195483249001264;21_22:0.0053017240225598505,21_20:660;21_22:660,TRUE
22,222.9119697,220.814849,5.038196194,-0.306553544,0.017333984,0.017578125,0.017089844,1300,0.000145543,0,0.000145543,0.000145543,22_23:0.004695724402552448,22_23:660,TRUE
23,301.4053257,119.2019103,4.844969766,-0.309395699,0.012695313,0.013183594,0.012207031,1300,0.000209966,0,0.000209966,0.000209966,,,TRUE
24,230.8487332,119.6171321,5.100802526,-0.305498398,0.140869141,0.015625,0.266113281,1300,0.000149344,0,0.000149344,0.000149344,24_23:0.004585217598356173;24_34:1,24_23:660;24_34:660,TRUE
25,261.9087495,177.4424096,4.945222193,-0.308427516,0.031738281,0.0078125,0.055664063,1300,0.000139383,0,0.000139383,0.000139383,25_24:0.004192727553849918,25_24:660,TRUE
26,350.7088654,132.6792592,4.854113753,-0.309769228,0.033203125,0.022460938,0.043945313,1300,0.000175826,0,0.000175826,0.000175826,26_25:0.010611847816152598,26_25:660,TRUE
27,299.2456653,370.446748,4.747654959,-0.310275194,0.037597656,0.060058594,0.015136719,1300,0.00024863,0,0.00024863,0.00024863,27_26:0.007452009018825423,27_26:660,TRUE
28,244.8153874,98.53622989,4.994402141,-0.307371414,0.015869141,0.007324219,0.024414063,1300,0.000242485,0,0.000242485,0.000242485,28_27:0.02244280929173942;28_29:0.02541123395233791;28_35:0.01151194893075147,28_27:660;28_29:660;28_35:660,TRUE
29,336.0959503,311.8106567,4.628659514,-0.312240887,0.017578125,0.0234375,0.01171875,1300,0.001218417,0,0.001218417,0.001218417,,,TRUE
30,380.3271905,68.77116527,4.732964447,-0.310900124,0.011474609,0.015136719,0.0078125,1300,0.000160977,0,0.000160977,0.000160977,30_29:0.018977613590644038;30_31:0.006162083639896232,30_29:660;30_31:660,TRUE
31,378.6356974,58.24857582,4.797661623,-0.310256286,0.010009766,0.011230469,0.008789063,1300,0.000162473,0,0.000162473,0.000162473,31_32:0.004600566513590643,31_32:660,TRUE
32,287.4114782,253.922928,4.910380498,-0.30787943,0.024658203,0.03125,0.018066406,1300,0.000127192,0,0.000127192,0.000127192,32_36:0.0035497919048512183,32_36:660,TRUE
33,277.9392906,59.41245296,4.97317895,-0.307548685,0.011230469,0.010742188,0.01171875,1300,0.001496693,0,0.001496693,0.001496693,33_39:0.03423028541319101,33_39:660,TRUE
34,224.1448595,93.9149635,4.6786417,-0.312433846,0.026611328,0.0234375,0.029785156,1300,0.000214988,0,0.000214988,0.000214988,34_43:0.006171930760466182,34_43:660,TRUE
35,66.06596431,80.47330868,4.907593298,-0.308301774,0.015136719,0.017089844,0.013183594,1300,0.000442214,0,0.000442214,0.000442214,35_47:0.011839226284905358,35_47:660,TRUE
36,303.9562781,401.5380708,4.812307938,-0.31175121,0.012695313,0.012695313,0.012695313,1300,0.000115572,0,0.000115572,0.000115572,36_51:0.0038640147417930426,36_51:660,TRUE
37,195.293131,98.68776063,4.837891976,-0.308869951,0.01171875,0.012207031,0.011230469,1300,0.000159125,0,0.000159125,0.000159125,37_38:0.005450412624195045,37_38:660,TRUE
38,363.9649506,162.9181685,4.776665062,-0.310165119,0.020263672,0.026367188,0.014160156,1300,0.000362194,0,0.000362194,0.000362194,,,TRUE
39,288.4876459,186.8690337,4.917333115,-0.3082477,0.022949219,0.018066406,0.027832031,1300,0.000231638,0,0.000231638,0.000231638,39_38:0.0063703916483868195,39_38:660,TRUE
40,212.8110383,36.52282162,4.868227627,-0.308591525,0.013183594,0.01171875,0.014648438,1300,0.000129741,0,0.000129741,0.000129741,40_41:0.004093131844878972;40_39:0.004994914005333251,40_41:660;40_39:660,TRUE
41,275.9710189,152.7773242,4.935532622,-0.308626411,0.006591797,0.002929688,0.010253906,1300,0.000185496,0,0.000185496,0.000185496,41_53:0.005462511637541967,41_53:660,TRUE
42,227.0778958,157.3081937,5.063939587,-0.306660127,0.011474609,0.010742188,0.012207031,1300,0.000252327,0,0.000252327,0.000252327,42_41:0.005464172884400209;42_43:0.007167234700639957,42_41:660;42_43:660,TRUE
43,322.8152196,308.827685,4.829563222,-0.310129071,0.013183594,0.012207031,0.014160156,1300,0.000127248,0,0.000127248,0.000127248,43_44:0.013602627011597701,43_44:660,TRUE
44,240.731561,20.29795049,4.949167319,-0.308506182,0.023681641,0.020507813,0.026855469,1300,0.000732798,0,0.000732798,0.000732798,44_45:0.028156223767950406,44_45:660,TRUE
