Qubit,T1,T2,Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID,RX,RZ,SX,X,CZ,RZZ,Gate time (ns),Operational
0,217.74086281995903,215.99543907546146,0.033447266,0.03515625,0.031738281,2600,0.000138849,0.000138849,0,0.000138849,0.000138849,0_1:0.002603386830916876,0_1:0.0009035797404438051,0_1:68,TRUE
1,243.2006086324176,408.0263227017342,0.219238281,0.436035156,0.002441406,2600,0.00017442,0.00017442,0,0.00017442,0.00017442,1_2:0.0023307759484852975;1_0:0.002603386830916876,1_2:1;1_0:0.0009035797404438051,1_2:68;1_0:68,TRUE
2,326.8115863134596,82.43173848788744,0.052001953,0.052246094,0.051757813,2600,1,1,0,1,1,2_1:0.0023307759484852975;2_3:0.0025594317966903812,2_1:1;2_3:0.002168174902459352,2_1:68;2_3:68,TRUE
3,154.69292364101352,59.94599239301251,0.011474609,0.004882813,0.018066406,2600,0.000169638,0.000169638,0,0.000169638,0.000169638,3_16:0.0014627763688296325;3_2:0.0025594317966903812;3_4:0.0015340988308761294,3_16:0.0022740172344211385;3_2:0.002168174902459352;3_4:0.00316530731312728,3_16:68;3_2:68;3_4:68,TRUE
4,191.56273361140416,76.27493784667516,0.0078125,0.012695313,0.002929688,2600,0.000300967,0.000300967,0,0.000300967,0.000300967,4_3:0.0015340988308761294;4_5:0.0025431674353680878,4_3:0.00316530731312728;4_5:0.003644985014720492,4_3:68;4_5:68,TRUE
5,205.97579003703945,78.65403161096593,0.003173828,0.006347656,0,2600,0.000145034,0.000145034,0,0.000145034,0.000145034,5_6:0.0019309794082568166;5_4:0.0025431674353680878,5_6:1;5_4:0.003644985014720492,5_6:68;5_4:68,TRUE
6,380.69698107983174,124.43247753160207,0.004882813,0.005859375,0.00390625,2600,0.00019905,0.00019905,0,0.00019905,0.00019905,6_5:0.0019309794082568166;6_7:0.0013764272853876713,6_5:1;6_7:0.002837849649875962,6_5:68;6_7:68,TRUE
7,258.0221340719975,81.31785213582309,0.021728516,0.015625,0.027832031,2600,0.000178572,0.000178572,0,0.000178572,0.000178572,7_17:0.001810260903321037;7_6:0.0013764272853876713;7_8:0.002034758684352045,7_17:0.003084206591261962;7_6:0.002837849649875962;7_8:0.0025276820522081578,7_17:68;7_6:68;7_8:68,TRUE
8,167.4825468550817,168.68478253272053,0.004150391,0.0078125,0.000488281,2600,0.000203147,0.000203147,0,0.000203147,0.000203147,8_9:0.002579599637200336;8_7:0.002034758684352045,8_9:1;8_7:0.0025276820522081578,8_9:68;8_7:68,TRUE
9,268.34092293205504,425.3700078748811,0.003662109,0.006835938,0.000488281,2600,0.0001478,0.0001478,0,0.0001478,0.0001478,9_8:0.002579599637200336;9_10:0.0020942654365297964,9_8:1;9_10:1,9_8:68;9_10:68,TRUE
10,285.47018261907004,299.65361889167104,0.0078125,0.009765625,0.005859375,2600,0.000202355,0.000202355,0,0.000202355,0.000202355,10_9:0.0020942654365297964;10_11:0.002908785632123767,10_9:1;10_11:1,10_9:68;10_11:68,TRUE
11,272.4414167,34.685886248800735,0.005615234,0.010742188,0.000488281,2600,0.000167365,0.000167365,0,0.000167365,0.000167365,11_18:0.001704506387815441;11_10:0.002908785632123767;11_12:0.0015975821322010697,11_18:0.0021281331859115404;11_10:1;11_12:0.0027604036273046473,11_18:68;11_10:68;11_12:68,TRUE
12,328.12140998329687,269.96820307134607,0.005126953,0.006347656,0.00390625,2600,0.000149935,0.000149935,0,0.000149935,0.000149935,12_13:0.001713758013263289;12_11:0.0015975821322010697,12_13:1;12_11:0.0027604036273046473,12_13:68;12_11:68,TRUE
13,390.95241410389923,169.48921429655914,0.004882813,0.008789063,0.000976563,2600,0.000207622,0.000207622,0,0.000207622,0.000207622,13_12:0.001713758013263289;13_14:0.0014417885479049986,13_12:1;13_14:1,13_12:68;13_14:68,TRUE
14,289.8164046789704,136.2595148582019,0.003417969,0.006835938,0,2600,0.000197818,0.000197818,0,0.000197818,0.000197818,14_15:0.0014242539213809025;14_13:0.0014417885479049986,14_15:0.002864805697752437;14_13:1,14_15:68;14_13:68,TRUE
15,406.38353984822294,331.41623025540275,0.003173828,0.00390625,0.002441406,2600,0.000158808,0.000158808,0,0.000158808,0.000158808,15_14:0.0014242539213809025;15_19:0.0025867752820725176,15_14:0.002864805697752437;15_19:0.0029367700740650926,15_14:68;15_19:68,TRUE
16,262.4060302272046,117.00059567253513,0.005615234,0.004882813,0.006347656,2600,0.000252854,0.000252854,0,0.000252854,0.000252854,16_23:0.001642448535851937;16_3:0.0014627763688296325,16_23:0.002357475845338408;16_3:0.0022740172344211385,16_23:68;16_3:68,TRUE
17,215.46044732772052,105.98278085856079,0.004394531,0.006347656,0.002441406,2600,0.000174356,0.000174356,0,0.000174356,0.000174356,17_7:0.001810260903321037;17_27:0.0019113810817665833,17_7:0.003084206591261962;17_27:0.004727967953576412,17_7:68;17_27:68,TRUE
18,126.85147102077258,221.08978395616603,0.003417969,0.006347656,0.000488281,2600,0.000132856,0.000132856,0,0.000132856,0.000132856,18_11:0.001704506387815441;18_31:0.0014757578428860052,18_11:0.0021281331859115404;18_31:0.0018277171231878553,18_11:68;18_31:68,TRUE
19,226.46610607100254,188.30531627380054,0.004394531,0.008789063,0,2600,0.000241453,0.000241453,0,0.000241453,0.000241453,19_35:0.00890526357125443;19_15:0.0025867752820725176,19_35:1;19_15:0.0029367700740650926,19_35:96;19_15:68,TRUE
20,291.6302730982589,259.81096537408166,0.004150391,0.008300781,0,2600,0.000110026,0.000110026,0,0.000110026,0.000110026,20_21:0.0016209888863020772,20_21:1,20_21:68,TRUE
21,314.3474247,230.33241643666932,0.011474609,0.01171875,0.011230469,2600,0.0001875,0.0001875,0,0.0001875,0.0001875,21_36:0.001827654178888749;21_20:0.0016209888863020772;21_22:0.0019925338488123168,21_36:0.0018217018051271128;21_20:1;21_22:1,21_36:68;21_20:68;21_22:68,TRUE
22,100.90929673516784,126.12551573419994,0.005615234,0.010742188,0.000488281,2600,0.000263547,0.000263547,0,0.000263547,0.000263547,22_23:0.0022705242759984423;22_21:0.0019925338488123168,22_23:1;22_21:1,22_23:68;22_21:68,TRUE
23,381.2828661545778,214.10063843200422,0.039550781,0.055664063,0.0234375,2600,0.00021452,0.00021452,0,0.00021452,0.00021452,23_22:0.0022705242759984423;23_24:0.001035855453032808;23_16:0.001642448535851937,23_22:1;23_24:1;23_16:0.002357475845338408,23_22:68;23_24:68;23_16:68,TRUE
24,322.7246219976599,103.56741565773146,0.009277344,0.012695313,0.005859375,2600,0.000157785,0.000157785,0,0.000157785,0.000157785,24_23:0.001035855453032808;24_25:0.0012252558422294335,24_23:1;24_25:1,24_23:68;24_25:68,TRUE
25,253.21916605951733,91.83017031354045,0.014404297,0.016601563,0.012207031,2600,0.000177064,0.000177064,0,0.000177064,0.000177064,25_24:0.0012252558422294335;25_26:0.005373297351177531;25_37:0.0018789487692455475,25_24:1;25_26:1;25_37:0.0025711774908856733,25_24:68;25_26:80;25_37:68,TRUE
26,202.0253794578879,111.6978676281372,0.008789063,0.010253906,0.007324219,2600,0.000235264,0.000235264,0,0.000235264,0.000235264,26_25:0.005373297351177531;26_27:0.0016243650574422897,26_25:1;26_27:1,26_25:80;26_27:68,TRUE
27,233.68898751652736,95.53497390545003,0.003417969,0.002929688,0.00390625,2600,0.000146086,0.000146086,0,0.000146086,0.000146086,27_26:0.0016243650574422897;27_28:0.0024666712827755566;27_17:0.0019113810817665833,27_26:1;27_28:1;27_17:0.004727967953576412,27_26:68;27_28:68;27_17:68,TRUE
28,143.97782967848926,64.77816148086161,0.009277344,0.012207031,0.006347656,2600,0.000203231,0.000203231,0,0.000203231,0.000203231,28_27:0.0024666712827755566;28_29:0.0020507090631640135,28_27:1;28_29:0.002535536214852002,28_27:68;28_29:68,TRUE
29,168.85943122658858,18.331980429802158,0.004150391,0.0078125,0.000488281,2600,0.000182377,0.000182377,0,0.000182377,0.000182377,29_38:0.0020114654078414174;29_28:0.0020507090631640135;29_30:0.0028088254352478526,29_38:0.002482486326222555;29_28:0.002535536214852002;29_30:0.0026823598919535896,29_38:68;29_28:68;29_30:68,TRUE
30,124.20582278274277,121.37950140838157,0.009033203,0.017578125,0.000488281,2600,0.000171756,0.000171756,0,0.000171756,0.000171756,30_31:0.0023805446300615984;30_29:0.0028088254352478526,30_31:1;30_29:0.0026823598919535896,30_31:68;30_29:68,TRUE
31,250.72704666134814,190.8586428611541,0.003173828,0.005371094,0.000976563,2600,0.000144204,0.000144204,0,0.000144204,0.000144204,31_30:0.0023805446300615984;31_32:0.0027815690334999643;31_18:0.0014757578428860052,31_30:1;31_32:1;31_18:0.0018277171231878553,31_30:68;31_32:68;31_18:68,TRUE
32,157.6778863401325,186.2321301934055,0.001708984,0.003417969,0,2600,0.000146404,0.000146404,0,0.000146404,0.000146404,32_31:0.0027815690334999643;32_33:0.002044775429661694,32_31:1;32_33:0.003070753933856113,32_31:68;32_33:68,TRUE
33,289.4702056036552,185.29036621907883,0.002197266,0.004394531,0,2600,0.00026303,0.00026303,0,0.00026303,0.00026303,33_39:0.0025895487385413363;33_32:0.002044775429661694;33_34:0.0021679957783707904,33_39:0.0037003684787374758;33_32:0.003070753933856113;33_34:0.0015990733550020342,33_39:68;33_32:68;33_34:68,TRUE
34,199.77286597459403,174.89447819409577,0.016357422,0.016601563,0.016113281,2600,0.000119326,0.000119326,0,0.000119326,0.000119326,34_33:0.0021679957783707904;34_35:0.00260743803339053,34_33:0.0015990733550020342;34_35:1,34_33:68;34_35:68,TRUE
35,292.8646436263975,274.7283768089183,0.006103516,0.009765625,0.002441406,2600,0.000101173,0.000101173,0,0.000101173,0.000101173,35_19:0.00890526357125443;35_34:0.00260743803339053,35_19:1;35_34:1,35_19:96;35_34:68,TRUE
36,105.62016542779655,31.657272002323346,0.008544922,0.008789063,0.008300781,2600,0.000201305,0.000201305,0,0.000201305,0.000201305,36_41:0.002249566453859153;36_21:0.001827654178888749,36_41:0.0035472354621556568;36_21:0.0018217018051271128,36_41:68;36_21:68,TRUE
37,224.15209333744897,127.85050269341228,0.032470703,0.029296875,0.035644531,2600,0.000186491,0.000186491,0,0.000186491,0.000186491,37_45:0.0020311329347013074;37_25:0.0018789487692455475,37_45:1;37_25:0.0025711774908856733,37_45:68;37_25:68,TRUE
38,100.46511646718176,59.93814691196084,0.006347656,0.010253906,0.002441406,2600,0.000224774,0.000224774,0,0.000224774,0.000224774,38_29:0.0020114654078414174;38_49:0.003630776906929145,38_29:0.002482486326222555;38_49:0.002146586225727498,38_29:68;38_49:68,TRUE
